"genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN73006_c0_g1",333.271632718795,-11.0088543536918,2.24713175165756,-4.89906937836258,9.62916417722216e-07,0.000993183324859153
"TRINITY_DN6496_c0_g1",396.166591883235,-10.4572343613355,2.15236021018229,-4.85849641331634,1.18280551194241e-06,0.0011480696521121
"TRINITY_DN4654_c0_g1",124.41740327243,-6.04416974113821,1.24606281877107,-4.85061398999072,1.23079873951558e-06,0.00117076037700201
"TRINITY_DN11093_c1_g1",134.805309081087,-6.73560753212537,1.40418658674247,-4.79680378357059,1.61217384161216e-06,0.00136922500144493
"TRINITY_DN2413_c0_g1",269.977906242253,-30,6.24932875035,-4.80051557510394,1.58257665990398e-06,0.00136922500144493
"TRINITY_DN4199_c0_g2",231.200214519021,-30,6.25087439785777,-4.79932855638265,1.59198446306146e-06,0.00136922500144493
"TRINITY_DN6118_c1_g1",269.170673391589,-4.54353146417187,0.946069138207153,-4.80253639050322,1.56668335144181e-06,0.00136922500144493
"TRINITY_DN75977_c0_g1",154.248961137912,-30,6.25271898876517,-4.79791272467285,1.60327605258259e-06,0.00136922500144493
"TRINITY_DN9995_c0_g1",287.566872724059,-4.8795750562912,1.01543495185519,-4.80540387877754,1.54439423019552e-06,0.00136922500144493
"TRINITY_DN1267_c1_g1",189.089488093724,-9.83749550995751,2.06152406646464,-4.77195278482879,1.82448280067401e-06,0.00152235485057643
"TRINITY_DN95301_c0_g1",70.0598410480056,-29.7271050894231,6.25294232860309,-4.75409871500672,1.99333631486177e-06,0.00163457014605415
"TRINITY_DN1033_c2_g1",815.07896058727,-5.47603161399596,1.16040970313531,-4.71905017615784,2.36948375830715e-06,0.00178880979410867
"TRINITY_DN1068_c1_g1",275.726321607198,-6.58874000623202,1.39477863872998,-4.7238607068369,2.31408947501531e-06,0.00178880979410867
"TRINITY_DN17811_c0_g1",72.0386823557275,-8.9799757683981,1.8987120820562,-4.72950894096239,2.2506354382235e-06,0.00178880979410867
"TRINITY_DN355_c0_g1",880.798800516092,-4.97895356961884,1.05461005862186,-4.7211322601315,2.34535361550397e-06,0.00178880979410867
"TRINITY_DN4930_c0_g1",375.659790224741,-11.9745057252536,2.53372454958484,-4.72604874401824,2.28930717329014e-06,0.00178880979410867
"TRINITY_DN606_c14_g1",148.0988079248,-5.89438422933114,1.26029499718188,-4.67698772312152,2.91119679231846e-06,0.00216342860374153
"TRINITY_DN7401_c1_g1",140.860848772255,-9.05012201819722,1.94144349813749,-4.66154282979617,3.13847736605467e-06,0.00229644803087579
"TRINITY_DN8381_c0_g1",59.283390198644,-11.5138857301968,2.48053329111605,-4.64169772340223,3.45558132827022e-06,0.00249016520536152
"TRINITY_DN1927_c0_g1",111.003095318554,-11.7260960629327,2.53360270077403,-4.62823001386535,3.68804266097198e-06,0.00261801488057445
"TRINITY_DN8503_c1_g1",291.68083682059,-10.8934506230592,2.35909638804393,-4.61763693856173,3.88134548635504e-06,0.00271471577465488
"TRINITY_DN2782_c1_g1",136.142726777234,8.09162909811889,1.75374578585908,4.61391221200007,3.95159384342954e-06,0.00272379354764279
