"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN29199_c0_g1",32.7976294916096,8.82294362331322,2.17359257049941,4.05915245711666,4.92511512647921e-05,0.032533805629233
"TRINITY_DN239_c0_g1",1040.28608852018,4.38310587935937,1.08384899101257,4.04401896915962,5.25426653299622e-05,0.0342326261062785
"TRINITY_DN26618_c0_g1",121.579359245242,-5.01220645372437,1.24244581508699,-4.03414490423749,5.48014938083689e-05,0.0344274864128807
"TRINITY_DN44601_c0_g1",428.170648911181,5.39285313895152,1.33710237343362,4.03323877520531,5.50133295636958e-05,0.0344274864128807
"TRINITY_DN61020_c0_g1",249.038200832584,3.29799982762381,0.817017815814605,4.03663147092521,5.42241446853329e-05,0.0344274864128807
"TRINITY_DN91949_c0_g1",83.2451186663512,5.37078970396544,1.33306232632091,4.02891117535979,5.60357841341528e-05,0.0346119211584992
"TRINITY_DN11072_c0_g1",19.9060106573445,8.6168210824482,2.14562315215459,4.01599930248486,5.91944304785568e-05,0.0353842421229899
"TRINITY_DN1198_c2_g1",77.1289863954964,7.81253246036508,1.94510939523141,4.01650029531404,5.90687899792254e-05,0.0353842421229899
"TRINITY_DN13182_c1_g1",639.177266120883,-4.69320249370072,1.16900063792465,-4.01471337263994,5.95180793052961e-05,0.0353842421229899
"TRINITY_DN11898_c0_g1",30.7226127161022,-8.5872845361114,2.14662784754663,-4.0003601676582,6.32461504391899e-05,0.0371364217412137
"TRINITY_DN915_c0_g2",9993.43599181556,-3.12331837486062,0.782602761744555,-3.990937072466,6.58127424606799e-05,0.0381721932216146
"TRINITY_DN16211_c0_g1",21.2076721196256,8.73149166675302,2.19386056203928,3.97996655659682,6.89249639547706e-05,0.0385663554194452
"TRINITY_DN1822_c0_g1",886.334814982049,-10.7103585728901,2.6893703771944,-3.98247807877742,6.82004170122673e-05,0.0385663554194452
"TRINITY_DN3813_c5_g1",78.8046414742215,4.16311228488194,1.04545484894044,3.98210624696153,6.83072300741089e-05,0.0385663554194452
"TRINITY_DN57368_c0_g1",50.244326410322,-9.77047600010891,2.4608023916966,-3.97044315020055,7.17390728314316e-05,0.0396742098015781
"TRINITY_DN42373_c0_g1",36.9629296716876,8.67359428077578,2.18775619909949,3.96460733803243,7.3516861032954e-05,0.0401900623860727
"TRINITY_DN7941_c0_g1",169.299389384906,-3.54099259532847,0.8966208622971,-3.94926411399419,7.83918189369915e-05,0.0423681056870711
"TRINITY_DN95933_c0_g1",50.7560886014626,4.49842522181724,1.13987458030547,3.94642121119302,7.93280093757443e-05,0.0423923534148289
"TRINITY_DN10263_c0_g2",40.3708318974491,-4.82066236913505,1.22534894672456,-3.93411393711237,8.35041678429848e-05,0.0441282414086689
"TRINITY_DN109361_c0_g1",506.751180130659,3.70542103317506,0.944071164131075,3.92493826096843,8.67519845551899e-05,0.0453407817299932
"TRINITY_DN1010_c2_g1",53.0494797815157,4.01975150250231,1.02794367460891,3.91047836743744,9.21135101575023e-05,0.0476196810500105
"TRINITY_DN10035_c0_g1",39.9209742286706,-5.86219038298903,1.50364495169692,-3.89865331996981,9.67291461054265e-05,0.0494681173969913
