"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN5598_c0_g1",90.338287670566,-7.68854668703257,1.63528214742426,-4.7016636848527,2.58050280297241e-06,0.00200104512131988
"TRINITY_DN58606_c0_g1",41.2463559834781,-7.68267017280006,1.64202514385025,-4.6787774240689,2.88590505274072e-06,0.00217300285529194
"TRINITY_DN65278_c0_g1",58.9471674946661,-9.35686640806917,1.99894502423374,-4.68090232329223,2.85615006143927e-06,0.00217300285529194
"TRINITY_DN37737_c0_g1",121.286856941772,6.69389904367351,1.44025466637988,4.64771904575655,3.35625614058933e-06,0.0024910612540617
"TRINITY_DN10594_c0_g1",120.623821231555,5.33640142622916,1.15092341111691,4.63662601236905,3.54142329623387e-06,0.00250790478397994
"TRINITY_DN6305_c0_g1",44.5462159836491,-7.04545124004621,1.52010470307867,-4.63484602460411,3.57203260541845e-06,0.00250790478397994
"TRINITY_DN7953_c0_g1",59.7468731900345,-9.86647626980396,2.12841908802681,-4.63558907421323,3.5592241396101e-06,0.00250790478397994
"TRINITY_DN88105_c0_g1",54.4479730449414,7.23246526168846,1.55769143182074,4.64306672935514,3.4327542074896e-06,0.00250790478397994
"TRINITY_DN2117_c1_g1",28.7335954406212,-9.91317222299098,2.14055238831478,-4.63112805699441,3.636788433769e-06,0.00251932457435291
"TRINITY_DN108_c0_g2",3289.73703531917,2.15610892832812,0.466112692592901,4.62572455672484,3.73291117728766e-06,0.00255188684494711
"TRINITY_DN482_c0_g1",9932.28144430961,9.41757003394143,2.04401008593691,4.60739900391672,4.07737135604254e-06,0.00275116660783364
"TRINITY_DN2441_c0_g1",41.4874641595134,-8.49827327136999,1.84617196627409,-4.6031861747533,4.16075971052972e-06,0.00277143936872528
"TRINITY_DN95536_c0_g1",33.2213508387257,-10.3512106274106,2.250906478826,-4.59868534067637,4.25165371445016e-06,0.00279613504726909
"TRINITY_DN73267_c0_g1",59.1062117648252,7.44543766102993,1.62089664840977,4.59340678403803,4.36067853423554e-06,0.00283198816557759
"TRINITY_DN7305_c3_g1",17.2612579865841,-19.7869647907518,4.34783321853558,-4.5509944370443,5.33929599481004e-06,0.00342472991864637
"TRINITY_DN65886_c0_g1",1082.00481232367,4.36017887639586,0.965475378196364,4.51609536075509,6.29903070692798e-06,0.00399105049242004
"TRINITY_DN514_c0_g1",813.373203285601,-3.63041806095442,0.806778300566414,-4.49989552074667,6.79868697339686e-06,0.0042557323096727
