"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN514_c0_g1",813.373203285601,3.43193181412198,0.806858200682775,4.25345099203036,2.10501024282571e-05,0.0215947849444826
"TRINITY_DN531_c0_g1",2348.5889444175,3.94840584142949,0.928516837208032,4.25237936804894,2.11511156580329e-05,0.0215947849444826
"TRINITY_DN67_c1_g1",237.575191684909,5.89755623359116,1.38704500476484,4.25188527649184,2.11978449074894e-05,0.0215947849444826
"TRINITY_DN4256_c0_g1",5528.95794930074,3.80872280646682,0.899966489561986,4.23207180560748,2.31548454567148e-05,0.0231348076096849
"TRINITY_DN2937_c0_g1",474.223647989571,10.2501350252604,2.43613688111559,4.20753657346484,2.58169629693463e-05,0.0253079303975922
"TRINITY_DN99629_c0_g1",37.9190453272125,10.0492986912625,2.39336658099651,4.19881299047733,2.68317793558645e-05,0.0258156499339618
"TRINITY_DN7060_c0_g1",202.828627719337,6.10991724705937,1.46404552092955,4.17331097955211,3.00204734327253e-05,0.0283584308581317
"TRINITY_DN68560_c0_g1",207.726058546644,5.27418878623837,1.26530867425215,4.16830208593618,3.06877054474561e-05,0.0284710667236176
"TRINITY_DN82185_c0_g1",40.4428627132285,10.5941072409441,2.54976639435945,4.15493249278846,3.25383596348655e-05,0.0296584293829726
"TRINITY_DN17849_c0_g1",1141.45909600039,3.88236324068664,0.937504271098431,4.14116859023784,3.45540859961979e-05,0.0308398301104642
"TRINITY_DN69629_c0_g1",175.29816449754,7.02005766567403,1.69645078521958,4.13808506962694,3.5021652901884e-05,0.0308398301104642
"TRINITY_DN1_c4_g1",4879.47413493529,2.61472252610182,0.633484381451199,4.12752484932929,3.66688817094954e-05,0.0312316680199481
"TRINITY_DN2441_c0_g1",41.4874641595134,7.63692448177209,1.84969539526106,4.12874709064962,3.64745331526884e-05,0.0312316680199481
"TRINITY_DN15212_c0_g1",354.569011941183,4.51352928905542,1.10124008251768,4.09858791076371,4.15678357502182e-05,0.0348331759097191
"TRINITY_DN30725_c0_g1",106.672451399346,-5.54035673983641,1.35885139249726,-4.07723520793139,4.55743846198975e-05,0.0375843992528059
"TRINITY_DN24502_c0_g1",81.8819004618974,-6.80634147039993,1.67460948476198,-4.06443504132388,4.81489458147904e-05,0.0390871637469912
"TRINITY_DN35247_c0_g1",67.9698194368814,6.55395839644548,1.62764672623623,4.02664674760282,5.6577934210935e-05,0.0452231780296789
"TRINITY_DN1_c3_g1",9106.12617381113,3.13863084503138,0.78188082273062,4.0142061984205,5.96461874741441e-05,0.0469532980336236
